International student enrolments YTD ,,,,,,,,
,nsw,vic,qld,sa,wa,tasmania,act,nt
Oct-23,358507,274495,141030,53077,69517,10325,20670,5224
Nov-23,368980,283254,145692,54172,71379,10531,20952,5551
Dec-23,371903,285900,147557,54546,71819,10658,21015,5568
Jan-24,225206,170652,81848,33741,47339,5315,12711,3585
Feb-24,267887,205996,95999,40750,58593,6758,15704,3744
Mar-24,280011,222744,103509,42208,61318,7112,16212,4315
Apr-24,295303,233578,110231,44096,64682,7471,16599,4531
May-24,309063,241860,114612,45356,66572,7726,17024,4574
Jun-24,315013,248259,118069,46459,67812,7960,17260,4633
Jul-24,351992,283939,134606,52104,78716,8850,20770,5081
Aug-24,362950,291613,138393,53434,81042,9139,21133,5168
Sep-24,386216,303713,145884,55451,84327,9572,21500,5305
Oct-24,399602,314870,150759,57416,87304,9829,21861,5384
Nov-24,410197,323392,154848,58684,89275,10106,22339,5664
Dec-24,415483,327846,157211,59357,90203,10260,22546,5706
Jan-25,241042,185730,84762,34183,51245,5261,12869,3331
Feb-25,280570,201966,98379,39128,61648,6205,15836,3507
Mar-25,293989,234994,104955,42133,64402,6499,16314,4183
Apr-25,304005,242761,109116,43395,67047,6771,16723,4286
May-25,312352,249198,112452,44439,68569,6991,16945,4315
Jun-25,320690,256854,115552,45312,70079,7252,17134,4387
Jul-25,345817,284443,129196,50690,79129,8110,20239,5275
Aug-25,360442,291766,132453,52090,81703,8409,20539,5368
Sep-25,379901,302310,138443,54020,84211,8766,20783,5523
Oct-25,391010,311161,143229,55645,87207,9011,21069,5581
Nov-25,399409,319217,146792,56953,88730,9312,21634,5940
Dec-25,403139,322347,148589,57327,89530,9427,21714,5967
